OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
46977,86,0.06,0.0945864,0.802,296059.7953,4635237.406
21330,88,0.105,0.3495256,0.611,296059.8226,4632145.731
37865,86,1,0.0180614,0.659,296060.0901,4634216.845
29563,89,0.076,0.2898545,0.579,296060.3902,4633196.283
47230,86,0.054,0.2931412,0.794,296060.6688,4635267.397
21540,88,0.05,0.5747647,0.603,296060.6956,4632175.722
38140,86,0.917,0,0.659,296060.9634,4634246.836
14626,88,0,0.5604263,0.722,296061.0064,4631155.16
29798,90,0.233,0.4155292,0.603,296061.2634,4633226.274
47482,86,0.012,0.4100409,0.802,296061.5423,4635297.388
21754,88,0.066,0.3955702,0.611,296061.5687,4632205.713
38415,86,0.014,0,0.659,296061.8368,4634276.826
14813,89,0,0.53377,0.706,296061.8793,4631185.151
30024,90,0,0.4785138,0.595,296062.1366,4633256.265
47733,87,0.007,0.2152244,0.81,296062.4158,4635327.379
21971,89,0.045,0.4195329,0.611,296062.4417,4632235.703
38690,85,0,0,0.659,296062.7101,4634306.817
15005,89,0.153,0.4946184,0.69,296062.7521,4631215.142
30251,92,0.194,0.3909031,0.611,296063.0098,4633286.256
47983,87,0.418,0.1558924,0.817,296063.2893,4635357.37
22191,89,0.023,0.5235827,0.603,296063.3147,4632265.694
38965,85,0,0,0.659,296063.5835,4634336.808
15205,89,0.167,0.5163604,0.675,296063.625,4631245.133
30478,94,0.041,0.4585973,0.603,296063.8829,4633316.247
48232,87,0.38,0.4361484,0.833,296064.1628,4635387.361
22416,89,0.052,0.3907817,0.595,296064.1878,4632295.685
39240,85,0.03,0,0.659,296064.4568,4634366.799
15410,89,0.408,0.3207493,0.667,296064.4979,4631275.124
30706,93,0.167,0.5475209,0.611,296064.7561,4633346.237
48480,86,0.006,0.183918,0.833,296065.0363,4635417.351
22643,89,0.115,0.611068,0.587,296065.0608,4632325.676
39514,84,0.011,0,0.651,296065.3302,4634396.79
15618,89,0.299,0.5281362,0.659,296065.3708,4631305.114
30935,92,0.003,0.5267763,0.603,296065.6293,4633376.228
48727,87,0.003,0.0004379,0.833,296065.9098,4635447.342
22871,89,0.003,0.5443299,0.587,296065.9338,4632355.667
39787,84,0,0,0.651,296066.2035,4634426.781
15823,89,0.22,0.4586839,0.651,296066.2437,4631335.105
31165,92,0.146,0.4209853,0.595,296066.5026,4633406.219
48972,87,0.074,0.3267002,0.849,296066.7834,4635477.333
23100,89,0,0.5824561,0.579,296066.8069,4632385.658
40060,84,0.13,0,0.651,296067.0769,4634456.771
16028,89,0.259,0.448203,0.643,296067.1166,4631365.096
31396,90,0.163,0.5420667,0.595,296067.3758,4633436.21
49216,87,0.001,0.4762475,0.849,296067.6569,4635507.324
23329,89,0.01,0.5250295,0.579,296067.68,4632415.648
40333,84,0.228,0,0.659,296067.9503,4634486.762
16233,89,0.072,0.4444869,0.635,296067.9895,4631395.087
31626,90,0.043,0.4770129,0.611,296068.249,4633466.201
49459,87,0.931,0.2133704,0.857,296068.5304,4635537.315
23558,88,0.078,0.5502038,0.579,296068.553,4632445.639
40607,84,0.095,0,0.659,296068.8237,4634516.753
16438,89,0.073,0.5090947,0.627,296068.8624,4631425.078
